Producto_A,Codigo_A,Producto_B,Codigo_B,Soporte_Conjunto_%,Confianza_%,Lift,Soporte_A_%,Soporte_B_%
SORBETO FESTIVAL VAINILLA,86581004187,rexona clinical expert,7506306214989,0.0,20.0,9.86,0.02,0.02
SORBETO FESTIVAL VAINILLA,86581004187,MERENDINA CREMA PTE12,86581211127,0.0,20.0,9.86,0.02,0.02
SUPER COCO BARRA 23gr,7702993053690,BOLSA DE REGALO BB M,6811237527253,0.0,20.0,9.86,0.02,0.02
SUPER COCO BARRA 23gr,7702993053690,Churros crunch 25g,7441001010958,0.0,20.0,9.86,0.02,0.02
Toallas 2 pack Magic,7406233301106,TOALLA SILUETA REGULAR 2PACK,7443010581443,0.0,20.0,9.86,0.02,0.02
DELIGURT IN LINE FRUTAS 750 ML.,7441001602771,ELECTROLIFE ZERO MORA AZUL  625 ML,7502316492478,0.0,20.0,9.86,0.02,0.02
Gel pequeño,150661,MANI CON BARBACOA 70 GSpro,7441005714449,0.0,20.0,9.86,0.02,0.02
Gel pequeño,150661,Juego manicura 72,6601001072061,0.0,20.0,9.86,0.02,0.02
Gel pequeño,150661,MONEDERO D/ FLOR  PC0907-9  1440/CJ  x002,2025090907009,0.0,20.0,9.86,0.02,0.02
FRIJOLES LIZANO ROJOS 400GRS,7411000341278,PALSTIGEL DOYPACK 100 ML,7441002100429,0.0,20.0,9.86,0.02,0.02
SOPA MAGGI MENUDOSA CON ARROZ 50 GS,8445291374942,COLADO DE FRUTAS AGÚ,748928009612,0.0,20.0,9.86,0.02,0.02
Juego manicura 72,6601001072061,MONEDERO D/ FLOR  PC0907-9  1440/CJ  x002,2025090907009,0.0,20.0,9.86,0.02,0.02
Juego manicura 72,6601001072061,ESTUCHE PVC WAFINO-LEXUS 100G 1X20,8684154701338,0.0,20.0,9.86,0.02,0.02
SALCHICHA HOT DOG 325 GS,7441001635670,ARIZONA SANDIA 340ml,613008740665,0.0,20.0,9.86,0.02,0.02
SOPA MAGG CASERA POLLO VEGETA,88169000611,TOREADITOS LIMON FUEGO 90 GS,7441005715026,0.0,20.0,9.86,0.02,0.02
NESCAFE CAPPUCCINO SOBRE,7501059292529,Salsa tomate Lizano,7411000347362,0.0,20.0,9.86,0.02,0.02
NESCAFE CAPPUCCINO SOBRE,7501059292529,toallas amiga,7441008175384,0.0,20.0,9.86,0.02,0.02
NESCAFE CAPPUCCINO SOBRE,7501059292529,AXION BARRA LIMON 250G,99176003489,0.0,20.0,9.86,0.02,0.02
papel aluminio 30m,9090400190006,roma ketchup doy pack 106 g,731701017324,0.0,20.0,9.86,0.02,0.02
papel aluminio 30m,9090400190006,GALLETA YEMA POZUELO PTE/6,7441163400185,0.0,20.0,9.86,0.02,0.02
papel aluminio 30m,9090400190006,GERBER MELOCOTON 100 GS,7501058642295,0.0,20.0,9.86,0.02,0.02
GALLETA POZ YUMBO FIBRA PTE/6,86581007423,te hierba bueno 25 und,730345002529,0.0,20.0,9.86,0.02,0.02
GALLETA POZ YUMBO FIBRA PTE/6,86581007423,ACEITE DE OLIVA EXTRA VIRGEN ROMA 250ML,731701004089,0.0,20.0,9.86,0.02,0.02
GALLETA POZ YUMBO FIBRA PTE/6,86581007423,GELATINA DIET.X ARANDANOS 11GS,7441005639308,0.0,20.0,9.86,0.02,0.02
ROMA PASTA CORTA MIX 12X250g,731701018338,SORBETO FESTIVAL VAINILLA,86581004187,0.0,20.0,9.86,0.02,0.02
ATUN TESORO DEL MAR LOMO TROZOS 140G,7441002638229,Pechuga de pavo,7441008940357,0.0,20.0,9.86,0.02,0.02
NIEVE  DE FRUTAS,7441163700025,roma pizza doy pack 210 g,731701017409,0.0,20.0,9.86,0.02,0.02
SORBETO FESTIVAL VAINILLA,86581004187,MAYONESA HELLMANNS LIMON 200G,7411000309667,0.0,20.0,9.86,0.02,0.02
SORBETO FESTIVAL VAINILLA,86581004187,GALLETA YEMA POZUELO PTE/6,7441163400185,0.0,20.0,9.86,0.02,0.02
ALIMENTO PERRO CACHORRO DUKETAS 1 K,7443007536494,DOÑA BLANCA CIL. 250 G,99176003694,0.01,20.0,9.86,0.03,0.02
ROMA PASTA CORTA MIX 12X250g,731701018338,rexona clinical expert,7506306214989,0.0,20.0,9.86,0.02,0.02
OFERTA LECHE Coronado,20010113,GALLETA POZ YUMBO FIBRA PTE/6,86581007423,0.0,20.0,9.86,0.02,0.02
rexona clinical expert,7506306214989,MERENDINA CREMA PTE12,86581211127,0.0,20.0,9.86,0.02,0.02
ELECTROLIFE ZERO MORA AZUL  625 ML,7502316492478,FRIJOL DON PEDRO ROJO SELECTO 450GR,7441037917047,0.0,20.0,9.86,0.02,0.02
GOMITAS DIA NA 119 GS.,748757000576,SORBETO  TODAY CREMA LIMON 200 GS,8695504165342,0.0,20.0,9.86,0.02,0.02
ESCURRIDOR 3128,6927560431287,JABON LIQUIDO 3 PACK BACTERION,7443010584352,0.0,20.0,9.86,0.02,0.02
MASA MASECA DE 500GRS,7441000708924,SALSA ROSADA CAMPESTRE 200G,769470002715,0.0,20.0,9.86,0.02,0.02
galletas nevadas 1x10 pózuelo,7441163408556,ATUN SPLASH 230 GS,7441002653529,0.0,20.0,9.86,0.02,0.02
GALLETA POZ YUMBO FIBRA PTE/6,86581007423,NESCAFE CAPPUCCINO SOBRE,7501059292529,0.0,20.0,9.86,0.02,0.02
OFERTA LECHE Coronado,20010113,NESCAFE CAPPUCCINO SOBRE,7501059292529,0.0,20.0,9.86,0.02,0.02
lavaplatos liquido axion 400,7509546017143,TARTARA BLISTER LEGADO,7443006821355,0.0,20.0,9.86,0.02,0.02
Salsa tomate Lizano,7411000347362,CHILERO LIZANO 155GRS,747627004010,0.0,20.0,9.86,0.02,0.02
MAXXX ENERGY SANDIA,764009028594,volt fantasy pet no retornable 625 ml.,7445072003277,0.0,20.0,9.86,0.02,0.02
DESOD SANIT TRONEX VAINI/ALAMB,7441005617818,DETERGENTE FORT 3 ACONDICIONADOR PLUS 500 GS,748928011912,0.0,20.0,9.86,0.02,0.02
3 pack atun sadimar trocitos,7441002641823,MAYONESA HELLMANNS NATURAL 400G,747627100217,0.0,20.0,9.86,0.02,0.02
PAPEL HIGIENICO SCOTT FIBRAS REC. 1000 HOJAS,7441008102588,guayabitas 10 unidades bolsa,7441041002739,0.0,20.0,9.86,0.02,0.02
RAID  RAIDOLITOS LAVANDA,7591005574014,DETERGENTE FORT 3 ACONDICIONADOR PLUS 500 GS,748928011912,0.0,20.0,9.86,0.02,0.02
PETIT POIS DEL TROPICO 410GS,7441000631147,JUG. SLIME D/AVENGER 51138-76,8998511380761,0.0,20.0,9.86,0.02,0.02
MERENDINA CREMA PTE12,86581211127,CHIKY CHOC. 12,86581010881,0.0,20.0,9.86,0.02,0.02
Choys blanco arroz,7702007060348,TUTTO LOVERS 80 GS,7702007072402,0.0,20.0,9.86,0.02,0.02
TOALLA SILUETA REGULAR 2PACK,7443010581443,DESINFECTANTE IREX ESENCIAL 750 ML,748928012001,0.0,20.0,9.86,0.02,0.02
lavaplatos liquido axion 400,7509546017143,ATUN SPLASH VEGETALES 105G,7441002630001,0.0,20.0,9.86,0.02,0.02
CARNE POUCHE POLLO 100 GS SUPER PERRO,7441007802397,TROZOS DE HIGADO DE POLLO EN SALSA POUCHE 100 G,7441007802786,0.0,20.0,9.86,0.02,0.02
Pechuga de pavo,7441008940357,MASA DOÑAREPA MAIZ AMARILLO 1K,7702020211093,0.0,20.0,9.86,0.02,0.02
MERENDINA CREMA PTE12,86581211127,GERBER MELOCOTON 100 GS,7501058642295,0.0,20.0,9.86,0.02,0.02
MERENDINA CREMA PTE12,86581211127,papel aluminio 30m,9090400190006,0.0,20.0,9.86,0.02,0.02
TAZA PERSONALIZADA SY4,6240471042848,SUAVISANTE DOWNY PERLAS APRIL FERESH 141 GS,30772090947,0.0,20.0,9.86,0.02,0.02
MULTIUSO SCOTT,7441008160229,PARCHE SALONPAS 1X10,4987188509067,0.0,20.0,9.86,0.02,0.02
ROMA PASTA CORTA MIX 12X250g,731701018338,MERENDINA CREMA PTE12,86581211127,0.0,20.0,9.86,0.02,0.02
MERENDINA CREMA PTE12,86581211127,TARTARA BLISTER LEGADO,7443006821355,0.0,20.0,9.86,0.02,0.02
FRIJOLES LIZANO ROJOS 227GRS,7411000341100,FRIJOLES LIZANO NEGROS 227GRS,7411000341063,0.01,40.0,9.86,0.02,0.03
ALIMENTO PERRO CACHORRO DUKETAS 1 K,7443007536494,SALSA CHUNKY S CRUZ PICANTE 250 FL,796500000281,0.01,40.0,9.86,0.03,0.03
Trululu Choco Vainilla,7702993052280,ESTUCHE PVC WAFINO-LEXUS 100G 1X20,8684154701338,0.0,20.0,9.86,0.02,0.02
JABON LIQUIDO 3 PACK BACTERION,7443010584352,CEPILLO ETERNA suave 8,7441040001306,0.0,20.0,9.86,0.02,0.02
ADAN Y EVA MOSCOW MULE 3550 ML,764009053145,ADAN Y EVA ORANGE SPRITZ,764009053152,0.0,20.0,9.86,0.02,0.02
lavaplatos liquido axion 400,7509546017143,CAMPESTRE CHIPOTLE 200GS,769470003217,0.0,20.0,9.86,0.02,0.02
CHIKY CHOC. 12,86581010881,papel aluminio 30m,9090400190006,0.0,20.0,9.86,0.02,0.02
3 pack atun sadimar trocitos,7441002641823,SALSA SANTA CRUZ CHUNKY S/PICA,796500003817,0.0,20.0,9.86,0.02,0.02
AGUA OXIGENADA LACOFA 120 ML,745876010325,gasa rollo blue line,7443002250319,0.0,20.0,9.86,0.02,0.02
te blanco 2.500 ml cero,7441001637070,COLADO DE FRUTAS AGÚ,748928009612,0.0,20.0,9.86,0.02,0.02
3 pack atun sadimar trocitos,7441002641823,ranchera roma 210 grs,731701016211,0.0,20.0,9.86,0.02,0.02
ARROZ TIO PELON 99 6 KILOS Z,7441006002729,GELATINA UVA 80 GS Z,7622300718909,0.0,20.0,9.86,0.02,0.02
ESPUMA GRANDE CONTRASTE,757962070434,DETERGENTE FORT 3 ACONDICIONADOR PLUS 500 GS,748928011912,0.0,20.0,9.86,0.02,0.02
ESPUMA GRANDE CONTRASTE,757962070434,desinfectante tronex caricia de bebe 425 ml,7441005634945,0.0,20.0,9.86,0.02,0.02
DETERGENTE FORT 3 ACONDICIONADOR PLUS 500 GS,748928011912,desinfectante tronex caricia de bebe 425 ml,7441005634945,0.0,20.0,9.86,0.02,0.02
MERENDINA CREMA PTE12,86581211127,GALLETA YEMA POZUELO PTE/6,7441163400185,0.0,20.0,9.86,0.02,0.02
Encanto 3 pack toalla,7416502202423,TARTARA BLISTER LEGADO,7443006821355,0.0,20.0,9.86,0.02,0.02
SORBETO FESTIVAL VAINILLA,86581004187,GERBER MELOCOTON 100 GS,7501058642295,0.0,20.0,9.86,0.02,0.02
DELIGURTIN LINE NATURAL 125G,7441001614828,YOGURT BIODELACTOMY VAINILLA 100 ML,7441001638756,0.0,20.0,9.86,0.02,0.02
COLCAFE VAINILLA SOBRE,7702032253777,Salsa tomate Lizano,7411000347362,0.0,20.0,9.86,0.02,0.02
POFFIS 300G,7441001006371,LIMA PARA UÑAS,7453010020446,0.0,20.0,9.86,0.02,0.02
SALSA SANTA CRUZ CHUNKY S/PICA,796500003817,MAYONESA HELLMANNS NATURAL 400G,747627100217,0.0,20.0,9.86,0.02,0.02
CARRITO D/TIBURON PC1219-46 216/CJ x002,2025091219046,1PCS TROMPO D/NINO B2588 144/CJ x44,6982771262588,0.0,20.0,9.86,0.02,0.02
TOALLA HUMEDA FAMILY 160,7406233301083,PAPEL CELOFAN COLORES,1000011103072,0.0,20.0,9.86,0.02,0.02
COLCAFE VAINILLA SOBRE,7702032253777,AXION BARRA LIMON 250G,99176003489,0.0,20.0,9.86,0.02,0.02
SNAKS CERVANTEÑO 240 GS,7443033150114,CHOCOLATE TUTTO COOKIES & CREAM,7702007007916,0.0,20.0,9.86,0.02,0.02
SALSA ROSADA CAMPESTRE 200G,769470002715,LAVAPLATOS FRUTOS ROJOS PUM 1k,7443010583539,0.0,20.0,9.86,0.02,0.02
Encanto 3 pack toalla,7416502202423,lavaplatos liquido axion 400,7509546017143,0.0,20.0,9.86,0.02,0.02
BARRA SUPER COCO BIANCHI,7702993053256,Terror Limon 750 ml,748928005607,0.0,20.0,9.86,0.02,0.02
volt fantasy pet no retornable 625 ml.,7445072003277,JUG. SLIME D/AVENGER 51138-76,8998511380761,0.0,20.0,9.86,0.02,0.02
MIEL ABEJA 250 GRS,730345000198,RON BACARDI CLARO 200ML,7501008613047,0.0,20.0,9.86,0.02,0.02
te hierba bueno 25 und,730345002529,ACEITE DE OLIVA EXTRA VIRGEN ROMA 250ML,731701004089,0.0,20.0,9.86,0.02,0.02
Encanto 3 pack toalla,7416502202423,CAMPESTRE CHIPOTLE 200GS,769470003217,0.0,20.0,9.86,0.02,0.02
JABON DIVA ALOE,7509546650289,CHIKY CHOC. 12,86581010881,0.0,20.0,9.86,0.02,0.02
CEREAL BARRA 6,7441001002625,SOPA MAGGI MENUDOSA CON ARROZ 50 GS,8445291374942,0.0,20.0,9.86,0.02,0.02
TARTARA BLISTER LEGADO,7443006821355,CAMPESTRE CHIPOTLE 200GS,769470003217,0.0,20.0,9.86,0.02,0.02
JABON IREX CILINDRO 90GRS,748928000619,DOÑA BLANCA CIL. 250 G,99176003694,0.0,20.0,9.86,0.02,0.02
Salsa tomate Lizano,7411000347362,AXION BARRA LIMON 250G,99176003489,0.0,20.0,9.86,0.02,0.02
Jabon geel olimpo 250 ml,7401006100733,chan 100g,7441094102899,0.0,20.0,9.86,0.02,0.02
COLCAFE VAINILLA SOBRE,7702032253777,NESCAFE CAPPUCCINO SOBRE,7501059292529,0.0,20.0,9.86,0.02,0.02
AVENA QUAKER MOSH 180GRS Z,803275305029,ARROZ TIO PELON ROJO 91% 9K,7441006022321,0.02,35.0,9.59,0.06,0.03
FRIJOL TOCORORO NEGRO 800 GRS,7441057503169,bokita club integral bs 9,7441163406811,0.02,38.46,9.48,0.04,0.03
ARROZ TIO PELON AZUL 80/20 3K Z,7441006011202,FRIJOL NEGOR LA TROJA 700 GS,7441057503398,0.01,50.0,9.48,0.02,0.04
AXION LIQUIDO 400 ML,7509546657684,PAPEL HIGIENICO NEVAX MEGARROLLO,7501036624374,0.01,50.0,9.48,0.02,0.04
ACEITE CLOVER 900 ML,751963311268,MARSHMALLOW STARS QUAKER 377G,803275000528,0.01,26.67,9.39,0.05,0.02
COMINO EN GRANO,7441094102417,PIMIENTA NEGRA EN GRANO,7441094102394,0.02,41.67,9.34,0.04,0.04
ADAN Y EVA MOSCOW MULE 3550 ML,764009053145,ADAN Y EVA MARACUYA Y PINA 355 ML,764009047830,0.01,60.0,9.25,0.02,0.05
COLADO DE PERA AGU,748928009650,COLADO AGU 113GS MANZANA,748928009667,0.01,30.0,9.25,0.03,0.03
CERVEZA ROCK TORONJA CEREZA 350 ML,764009055859,CERVEZA ROCK NARANJA SPICY 350,764009055866,0.01,22.22,9.13,0.03,0.02
ARROZ TIO PELON ROJO 91% 9K,7441006022321,ATUN MI SABOR TROZOS EN AGUA 170G,7441010606111,0.01,33.33,9.13,0.03,0.03
DOVE ORIGINAL 30ML,78931633,FRIJOLES ROJOS  MOLIDO 227 GS.,7411000345061,0.01,22.22,9.13,0.03,0.02
ZUCO GUANABANA 13gr,7503037746161,ZUKO BEBIDA PERA 13gr,7503037746314,0.01,22.22,9.13,0.03,0.02
JUG. MUNECA BRAINROT ITALIANO 1PC 55622,6903556556226,JUG. MUNECA BRAINROT ITALIANO 1PC 25720,6903556257208,0.01,33.33,9.13,0.03,0.03
CAFE DORADO 2PACK,836778005967,ATUN MI SABOR TROZOS EN AGUA 170G,7441010606111,0.01,33.33,9.13,0.03,0.03
ZUKO TE DURAZNO 13gr,7503037746413,CAFE DORADO 2PACK,836778005967,0.01,33.33,9.13,0.04,0.03
AXION LIQUIDO 400 ML,7509546657684,LECHE CORONADO  DESCREMADA 100%,7441013500065,0.01,33.33,9.13,0.02,0.03
ZUKO TE DURAZNO 13gr,7503037746413,ARROZ TIO PELON ROJO 91% 9K,7441006022321,0.01,33.33,9.13,0.04,0.03
SUEROX UVA 630 ML 8 IONES,650240032271,SUEROX MORA AZUL-HIERVABUENA 630 ML,650240032295,0.01,33.33,9.13,0.02,0.03
GALLETA COCANAS PAQ8 UNIDADES,7441163401786,papel aluminio 30m,9090400190006,0.01,18.18,8.96,0.04,0.02
CALAMARES PAY PAY EN SU TINTA 115G,8410042156405,CONSOME DE CAMARON SOBRE  1X5 MAGGI,8445291260139,0.01,40.0,8.96,0.02,0.04
ESPONJA X3 CONSTRATE,757962046767,JABON LIQUIDO 3 PACK BACTERION,7443010584352,0.01,18.18,8.96,0.04,0.02
PAPEL ALUMINIO ALUMINE 16 PIES,7441067604597,TIRAS ACTIVAS MR MUSCULO LAVANDA,7501032915490,0.01,18.18,8.96,0.04,0.02
CREMA COLGATE 22 ML,7509546039152,ZUKO GUAYABA PIÑA 13gr,7503037746321,0.01,18.18,8.96,0.04,0.02
BADIA PIMIENTA NEGRA MOL,33844000240,AXION BARRA LIMON 250G,99176003489,0.01,18.18,8.96,0.04,0.02
GATORADEBERRY BLUE 1L,764009055026,GATORADEPONCHE DE FRUTAS 1L,764009053695,0.01,18.18,8.96,0.04,0.02
GALLETA COCANAS PAQ8 UNIDADES,7441163401786,GERBER MELOCOTON 100 GS,7501058642295,0.01,18.18,8.96,0.04,0.02
GELATINA ROYAL FRAMBRUESA 80GR Z,7622300718985,GELATINA UVA 80 GS Z,7622300718909,0.01,18.18,8.96,0.04,0.02
7UPP LIMA LIMON 3 L.,764009006028,3 pack tosty 310 gs,7441000728489,0.01,18.18,8.96,0.04,0.02
ORIX FLORAL 450G,748928006505,AXION BARRA LIMON 250G,99176003489,0.01,18.18,8.96,0.04,0.02
SEMILLA NUTRIMIX PRO 70 GS,7441005713350,GELATINA DIETX FRAMBUESA,45454,0.01,18.18,8.96,0.04,0.02
MARSHMALLOW STARS QUAKER 377G,803275000528,ATUN PRONTO TROZOS 240G,731701011735,0.01,42.86,8.8,0.02,0.04
ZUKO TE FRIO FRAMBUESA 13gr,7503037746437,PASTA MAXFRESH 50 ML Z,7509546032023,0.01,28.57,8.8,0.02,0.03
GALLETA MILAN MENTA 134G,7441001650093,TAPITA GALLITO 102 GS 12unid,7441001620355,0.01,28.57,8.8,0.02,0.03
ACEITE CAPULLO 900 ML OFERTA,7441007201190,DETERGENTE IREX ACEITE LAVANDA 450gr,748928012032,0.01,50.0,8.8,0.03,0.05
ACEITE CAPULLO 900 ML OFERTA,7441007201190,ZUKO TE FRIO FRAMBUESA 13gr,7503037746437,0.01,25.0,8.8,0.03,0.02
MANTEQUILLA D.P. 62.5G,7441001604973,PURE DE PAPA PATITOS 100 GS,756958003845,0.01,25.0,8.8,0.03,0.02
ZUCO PIÑA 13g,7503037746192,ZUKO FRESA 13gr,7503037746239,0.01,28.57,8.8,0.02,0.03
NUMAR SUAVE 500G Z,751963120006,MARSHMALLOW STARS QUAKER 377G,803275000528,0.01,25.0,8.8,0.05,0.02
JABON ANTIBACTERAL LIQUIDO 220 ML,7441010660298,ATUN MI SABOR ENTEROS EN AGUA,7441010606074,0.01,28.57,8.8,0.02,0.03
DETERGENTE IREX ACEITE LAVANDA 450gr,748928012032,PROTECTOR KOTEX  LARGOS 1X15,7441008156741,0.01,28.57,8.8,0.05,0.03
PANADOL EXTRAFU ADUL DP/100,7451079000133,MARSHMALLOW STARS QUAKER 377G,803275000528,0.01,25.0,8.8,0.04,0.02
PROTECTOR KOTEX  LARGOS 1X15,7441008156741,chop suey 175 g vigui,14979112121,0.01,25.0,8.8,0.03,0.02
DETERGENTE IREX ACEITE LAVANDA 450gr,748928012032,LAVAPLATOS IREX  LIMON 250GRS,748928001265,0.02,35.71,8.8,0.05,0.03
CREMA CLOSE UP ROJA 90GS,7891037744356,ATUN MI SABOR ENTEROS EN AGUA,7441010606074,0.01,28.57,8.8,0.02,0.03
GALLETA POZ MARIA TUBO,86581006211,MARSHMALLOW STARS QUAKER 377G,803275000528,0.02,25.0,8.8,0.06,0.02
LECHE DESCREMADA 0% GRASA  LITRO z,7441001601156,frijol rojo .800 grs maximo Z,7441057502780,0.01,25.0,8.8,0.03,0.02
lavaplatos liquido axion 400,7509546017143,MASA JUANA  AMARILLO 1K,7441000712372,0.01,60.0,8.7,0.02,0.06
SALSA TOMATE BANQUETE 100GR,735051007127,AXION BARRA LIMON 250G,99176003489,0.01,17.65,8.7,0.06,0.02
achiotin pelota grande,7443002260042,CAFE DORADO 2PACK,836778005967,0.02,31.58,8.65,0.06,0.03
ARROZ TIO PELON ROJO 91% 9K,7441006022321,ACEITE CAPULLO 900 ml,7441007200889,0.02,55.56,8.56,0.03,0.05
ZUKO MANGO 13gr,7503037746185,ZUKO FRESA 13gr,7503037746239,0.02,27.78,8.56,0.06,0.03
DULCE TE 300 GRS,7441017910440,ARROZ TIO PELON ROJO 91% 9K,7441006022321,0.03,30.77,8.43,0.08,0.03
PASTA PLUMAS CARBONARA PRINCE 230G,731701041497,Tocineta de cerdo ahumada,7441008937036,0.01,37.5,8.4,0.03,0.04
ROMA PASTA CORTA MIX 12X250g,731701018338,ATUN PRONTO TROCITOS 354 G,731701012053,0.0,20.0,8.22,0.02,0.02
JABON DIVA ALOE,7509546650289,REFRESCO HI-C MELOCOTON 250ML,7441001700064,0.0,20.0,8.22,0.02,0.02
Suavisante Terso,7406171012546,MIEL ABEJA 250 GRS,730345000198,0.0,16.67,8.22,0.02,0.02
JABON DIVA ALOE,7509546650289,GELATINA ROYAL CEREZA 40G,7622300134051,0.0,20.0,8.22,0.02,0.02
JABON DIVA ALOE,7509546650289,rinsa atibacterial 1500 grs,7411000329634,0.0,20.0,8.22,0.02,0.02
CHALUPAS PAPICAR,768965021231,FRIJOL DON PEDRO ROJO SELECTO 450GR,7441037917047,0.0,16.67,8.22,0.02,0.02
GELATINA UVA 80 GS Z,7622300718909,papel higienico NEVAX ECONOMAX OFERTA 4+2 GRATIS,7441057268105,0.0,20.0,8.22,0.02,0.02
GELATINA UVA 80 GS Z,7622300718909,DESTUPIDOR ETERNA,7441040002402,0.0,20.0,8.22,0.02,0.02
DESINFECTANTE IREX ESENCIAL 750 ML,748928012001,TOALLAS DESMAQUILLADORES 20 UDS,7406233000153,0.0,20.0,8.22,0.02,0.02
ATUN SPLASH BBB 230 GS,7441002653536,ATUN SPLASH 230 GS,7441002653529,0.0,16.67,8.22,0.02,0.02
GALLETA CANASTA GUAYABA,86581017828,GALLETA MANTEQUILLA UNI,86581017316,0.0,20.0,8.22,0.02,0.02
CHOCOLATYE GALLITO CHOCOBISCUIT 580 GS,7441001649134,Zambos Yuquitas ChileToreado 130g 24s,750894611966,0.0,20.0,8.22,0.02,0.02
SHOT KTY1505,6951097100866,Salsa Chula oferta 4p,7410030504066,0.0,16.67,8.22,0.02,0.02
ATUN TESORO  DEL MAR FAMILIAR SOLIDARIO,7441002648624,MONEDERO D/ FLOR  PC0907-9  1440/CJ  x002,2025090907009,0.0,16.67,8.22,0.02,0.02
SORBETO FESTIVAL VAINILLA,86581004187,rinsa atibacterial 1500 grs,7411000329634,0.0,20.0,8.22,0.02,0.02
TAZA PERSONALIZADA SY4,6240471042848,navidad,113400,0.0,20.0,8.22,0.02,0.02
FRIJOL ROJO LUISIANA 800 GS,7441000708801,JUGOSO AL SARTEN AJO Y CEBOLLA,8585002432315,0.0,16.67,8.22,0.02,0.02
HARINA DE TRIJO GOLD MEDAL 1K,7441030500437,te hierba bueno 25 und,730345002529,0.0,16.67,8.22,0.02,0.02
Suavisante Terso,7406171012546,PAPA GAJO SAZONADA COUNTRY 400 GS,8063,0.01,33.33,8.22,0.02,0.03
JUGO WELCH UVA 295 ML,41800326006,MINI PPLUMITAS QUESO 200 GS,731701017614,0.0,20.0,8.22,0.02,0.02
GELATINA ROYAL CEREZA 40G,7622300134051,MERENDINA CREMA PTE12,86581211127,0.0,16.67,8.22,0.02,0.02
GELATINA ROYAL CEREZA 40G,7622300134051,GALLETA YEMA POZUELO PTE/6,7441163400185,0.0,16.67,8.22,0.02,0.02
DESINFECTANTE IREX ESENCIAL 750 ML,748928012001,ATUN PRONTO TROCITOS 354 G,731701012053,0.0,20.0,8.22,0.02,0.02
Rumba Patacones 250g,7441000723767,MIEL ABEJA 250 GRS,730345000198,0.0,16.67,8.22,0.02,0.02
AJAX C TRICOLIN  REGU 250G,99176120889,3 Pack bacterion aloe,7443010584369,0.0,20.0,8.22,0.02,0.02
AJAX C TRICOLIN  REGU 250G,99176120889,SCOTCH BRITE VERDE,7401004000028,0.0,20.0,8.22,0.02,0.02
Jabon geel olimpo 250 ml,7401006100733,MILAN GALLITO MENTA 12 UNI,7441001620300,0.0,20.0,8.22,0.02,0.02
DELIGURT CIRUELA 125GRS,7441001614781,BOLSA CHEPITA MEDIANA 9U,748928000992,0.0,16.67,8.22,0.02,0.02
ATUN SPLASH TTROCITO 105G,7441002630018,SOPA  MARUCHAN RES BOLSA 85GRS,41789002922,0.01,16.67,8.22,0.04,0.02
VANISH QUITA MANCHA ROSADO 100ML,7702626214863,YOGURT GRIEGO PLUS POST ENTRENAMIENTO 200 ML,7441001642715,0.0,20.0,8.22,0.02,0.02
MERENDINA CREMA PTE12,86581211127,papel higienico NEVAX ECONOMAX OFERTA 4+2 GRATIS,7441057268105,0.0,20.0,8.22,0.02,0.02
MERENDINA CREMA PTE12,86581211127,GALLETA POZUELO CREMAS 12  U,86581005085,0.0,20.0,8.22,0.02,0.02
PAPAEL HIGIENICO SCOTT 1X12 DOBLE HOJA,7441008174967,TIRAS ACTIVAS MR MUSCULO LAVANDA,7501032915490,0.0,16.67,8.22,0.02,0.02
ARROZ TIO PELON 99 6 KILOS Z,7441006002729,DESTUPIDOR ETERNA,7441040002402,0.0,20.0,8.22,0.02,0.02
YOGURT CORONADO MORA 1.8 LT.,7441013500669,Salsa Chula oferta 4p,7410030504066,0.0,16.67,8.22,0.02,0.02
MILAN GALLITO MENTA 12 UNI,7441001620300,chan 100g,7441094102899,0.0,16.67,8.22,0.02,0.02
MAYONESA HELLMANNS LIMON 200G,7411000309667,ATUN PRONTO TROCITOS 354 G,731701012053,0.0,20.0,8.22,0.02,0.02
ATUN TROZOS DE LOMO + LENGUA,7441057502360,TAZA PERSONALIZADA SY4,6240471042848,0.0,16.67,8.22,0.02,0.02
HELADO PINTA COMBINADO 272 G.,7441001609718,gelatina narnja 80 grs Z,7622210647283,0.0,20.0,8.22,0.02,0.02
lavaplatos liquido axion 400,7509546017143,papel higienico NEVAX ECONOMAX OFERTA 4+2 GRATIS,7441057268105,0.0,20.0,8.22,0.02,0.02
CLORO CLOROX BOLSA 900ML,7441000313104,3 Pack bacterion aloe,7443010584369,0.01,20.0,8.22,0.03,0.02
lavaplatos liquido axion 400,7509546017143,GELATINA ROYAL CEREZA BOLS 80GR,7622300718862,0.0,20.0,8.22,0.02,0.02
CREMA P CAFE SR CAFE 180G,7441002411037,CEREAL BARRA 6,7441001002625,0.01,16.67,8.22,0.04,0.02
VELA D/CUMPLEANO NUM 1 A3871 600/CJ x41,6936771273871,SORBETO  TODAY CREMA LIMON 200 GS,8695504165342,0.0,16.67,8.22,0.02,0.02
ARROZ MR MAXIMO 90% 1.8K Z,7441057501257,CONSOME KNORR/P/ ARROZ  PT/4,7411000344958,0.0,16.67,8.22,0.02,0.02
BIZCOCHO PALMAREÑOS 175 GM.,7441155901539,CHIKY CHOC. 12,86581010881,0.0,16.67,8.22,0.02,0.02
BIZCOCHO PALMAREÑOS 175 GM.,7441155901539,FRITOS TWISTS QUESO 19G TIRA 12U P.E,721282409205,0.0,16.67,8.22,0.02,0.02
